Ccode QOG,Country,Year,Blueprint,Blueprint 1995-2005,,Consttort,Convtort,IL_PHIN1,Politterr,Torture,IL_PHIN2,Homicide,Riot,IL_PHIN3,IL_PHIN,Constrel,Constfreemov,IL_SELFU1,Freerelig,Freemove,IL_SELFU2,Propright,Secprop,IL_SELFU3,IL_SELFU,INDLIB,Constfair,Pubtrial,RL_EQL1,Judindepcor,Judindepinf,RL_EQL2,Impcourts,Integrlegal,RL_EQL3,RL_EQL,Profjudg,Proftenure,RL_QUAL1,Confjust,Fairjust,RL_QUAL2,Confpolice,Fairpolice,RL_QUAL3,RL_QUAL,RULEOFLAW,Constfras,Constass,PS_FRAS1,Union,Memproorg,PS_FRAS2,Memhuman,Memenviron,PS_FRAS3,PS_FRAS,Constspeech,Constpress,PS_FROP1,Newsimp,Newspaper,PS_FROP2,Balpress,Neutrnp,PS_FROP3,PS_FROP,PUBLIC,Meandistrict,Gerryman,CO_COMP1,Largpavo,Votediff,CO_COMP2,Herfindex,Seatdiff,CO_COMP3,CO_COMP,Adminhurd,Eff_thresh,CO_OPEN1,Smallpavo,Enep,CO_OPEN2,Ceilings,Funding,CO_OPEN3,CO_OPEN,COMPET,Balexleg,MC_CHECKS1,Balpowexle,Seatsgov_2,MC_CHECKS2,Judrev,Powjudi,MC_CHECKS3,MC_CHECKS,Federalism,Bicameralism,MC_VERT1,Subexp,Subrev,MC_VERT2,MC_VERT,MUTUCONS,Leglen,Gov_term,GC_GORE1,Confgov,Devbehav,GC_GORE2,Govstab,Cabchange,GC_GORE3,GC_GORE,Antigovact,Violantigov,GC_CEIM1,Mip,Rip,Publser,GC_CEIM2,Govdec,Bureau,GC_CEIM3,CenBank_Ind,GC_CEIM4,GC_CEIM,GOVCAP,Discinco,Discexp,TR_NOSEC1,Corrup,CPI,TR_NOSEC2,TR_NOSEC,RestricFoi,EffFoi,TR_PTPP1,Legmedia,Polmedia,TR_PTPP2,Transp,TR_PTPP3,TR_PTPP,TRANSPAR,Suffrage,Regprovap,PAR_EQPA1,Repturnined,Repturngeag,PAR_EQPA2,Repaltined,Repaltgeag,PAR_EQPA3,PAR_EQPA,Facilitat,Registr,PAR_EFPA1,Meanpart,Eff_DD,PAR_EFPA2,Petitions,Demons,PAR_EFPA3,PAR_EFPA,PARTICIP,Seatperinh,No_districts,REP_SR1,Dirdem,DD_Quora,REP_SR2,Gallagindex,Issuecongr,REP_SR3,REP_SR,Polrightwom,Constraints,Partreg,REP_DR1,Womrep,womgov,REP_DR2,Minrep,Minpower,REP_DR3,REP_DR,REPRES,FREEDOM,CONTROL,EQUALITY,DQ
8,Albania,1990,0,0,Albania1990,-100,0,-50,33.33333333,0,16.66666667,.,20,.,.,-100,0,-50,-100,0,-50,.,.,.,.,.,0,50,25,0,.,.,.,55.55555556,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,-100,-100,-100,.,30.62465677,.,.,3.44571094,.,.,-100,-100,-100,.,.,.,.,.,.,.,.,0,0,0,.,.,.,-5.268951597,.,.,.,50,0,25,.,.,.,0,0,0,.,.,.,.,24.70282175,99.99806784,62.3504448,-50,100,25,.,0,0,0,.,.,.,.,.,.,.,.,46.58254504,-26.58985855,9.996343248,32.30625539,50,41.1531277,.,20,100,60,55.55566667,100,-2.879447841,50.89207294,5.790597576,-50,-22.10470121,.,.,.,.,0,0,0,50,.,.,.,0,0,0,-34.16666667,-78.88888889,-56.52777778,23.47661871,-16.52557954,-24.3511191,.,16.66666667,.,.,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,.,0,100,50,.,0,.,26.24299128,55.4063753,40.82468329,.,.,31.84731269,.,.,66.66666667,67,66.83333333,64.7247015,.,.,.,50,.,0,.,63.24200913,.,.,.,0,.,.,.,.,.,.,.
8,Albania,1991,0,0,Albania1991,-100,0,-50,33.33333333,50,41.66666667,.,40,.,.,0,100,50,100,100,100,.,.,.,.,.,100,0,50,100,.,.,.,29.62962963,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,0,0,0,.,30.62465677,.,.,3.44571094,.,.,0,0,0,.,.,.,.,.,.,.,.,0,0,0,24.41996318,69.55872504,46.98934411,-5.268951597,34.58035307,14.65570074,20.54834828,50,0,25,98.5640607,2.104451825,50.33425626,0,0,0,25.11141875,22.82490539,30,30,24.70282175,99.99806784,62.3504448,100,100,100,64.11681493,0,0,0,.,.,.,.,.,25,100,62.5,46.58254504,-26.58985855,9.996343248,32.30625539,-50,-8.846872303,21.21649032,-10,100,45,25,100,-2.879447841,40.70685072,5.790597576,-50,-22.10470121,.,.,.,.,0,0,0,50,.,.,.,0,0,0,-34.16666667,-78.88888889,-56.52777778,23.47661871,-16.52557954,-24.3511191,.,16.66666667,99.91901397,58.29284032,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,61.15740021,0,100,50,102.9958013,0,51.49790067,26.24299128,55.4063753,40.82468329,47.44086132,54.25670091,31.95530524,.,.,66.66666667,67,66.83333333,64.7247015,.,.,.,0,.,0,.,4.794520548,.,.,86.20093282,0,43.10046641,.,.,.,.,.,.
8,Albania,1992,0,0,Albania1992,-100,0,-50,66.66666667,50,58.33333333,93.35048992,80,86.67524496,31.6695261,0,100,50,0,100,50,.,.,.,.,.,100,0,50,0,.,.,.,12.96296296,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,0,0,0,.,30.62465677,.,.,3.44571094,.,.,0,0,0,.,.,.,.,.,.,.,.,76.18747952,0,38.09373976,16.09682163,43.88448008,29.99065085,4.158369791,33.26423637,18.71130308,28.9318979,50,89.78111946,69.89055973,95.01591197,2.578507546,48.79720976,0,0,0,39.56258983,34.22080142,75,75,42.11914425,99.89768116,71.0084127,100,100,100,82.00280423,0,0,0,.,.,.,.,.,25,100,62.5,46.58254504,-26.58985855,9.996343248,55.40536828,50,52.70268414,41.73300913,100,100,100,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,.,.,.,.,0,0,0,31.25,.,.,.,0,0,0,24.16666667,-1.111111111,11.52777778,38.11927886,24.82352832,12.11710203,.,16.66666667,93.46620386,55.06643526,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,60.08193186,0,100,50,90.36577524,0,45.18288762,26.24299128,55.4063753,40.82468329,45.33585697,52.65971473,31.15539019,70.95002832,51.05270925,66.66666667,67,66.83333333,84.52919257,.,.,.,50,.,0,.,9.589041096,.,.,100,0,50,.,.,.,.,.,.
8,Albania,1993,0,0,Albania1993,100,0,50,66.66666667,50,58.33333333,90.56151218,100,95.28075609,67.87136314,0,100,50,0,100,50,.,.,.,.,.,100,50,75,100,.,.,.,40.74074074,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,0,0,0,.,30.62465677,.,.,3.44571094,.,.,0,0,0,.,.,.,.,.,.,.,.,76.18747952,0,38.09373976,13.73129509,36.58757959,25.15943734,4.158369791,32.89017425,18.52427202,27.25914971,50,89.78111946,69.89055973,94.00749058,2.713237095,48.36036384,0,0,0,39.41697452,33.30341769,75,75,42.11914425,99.89768116,71.0084127,100,100,100,82.00280423,0,0,0,.,.,.,.,.,25,100,62.5,46.58254504,-26.58985855,9.996343248,55.40536828,50,52.70268414,41.73300913,80,100,90,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,49.75756176,49.75756176,40.28437226,41.00820583,0,0,0,50,.,.,.,0,0,0,24.16666667,-1.111111111,11.52777778,38.11927886,24.82352832,12.11710203,.,16.66666667,93.46620386,55.06643526,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,60.08193186,0,100,50,90.36577524,0,45.18288762,26.24299128,55.4063753,40.82468329,45.33585697,52.65971473,17.9221387,70.95002832,44.43608351,66.66666667,67,66.83333333,90.15783974,.,.,.,50,.,0,.,9.589041096,.,.,100,0,50,.,.,.,.,.,.
8,Albania,1994,0,0,Albania1994,100,100,100,33.33333333,50,41.66666667,94.39268686,100,97.19634343,79.62100337,0,100,50,100,100,100,.,.,.,.,.,100,50,75,100,.,.,.,70.37037037,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,0,0,0,.,30.62465677,.,.,3.44571094,.,.,0,0,0,.,.,.,.,.,.,.,.,76.18747952,0,38.09373976,13.73129509,36.58757959,25.15943734,4.158369791,32.89017425,18.52427202,27.25914971,50,89.78111946,69.89055973,94.00749058,2.713237095,48.36036384,0,0,0,39.41697452,33.30341769,75,75,30.46145899,99.46319099,64.96232499,100,100,100,79.98744166,0,0,0,.,.,.,.,.,25,100,62.5,46.58254504,-26.58985855,9.996343248,25.85945269,50,37.92972634,36.80868986,100,100,100,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,49.75756176,49.75756176,42.78437226,39.78826196,0,0,0,50,.,.,.,0,0,0,-50,3.703703704,-23.14814815,39.02566804,7.938759944,-5.069796068,.,16.66666667,93.46620386,55.06643526,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,60.08193186,0,100,50,84.34864016,27.02381544,55.6862278,26.24299128,55.4063753,40.82468329,48.83697037,54.43094307,18.18737251,70.95002832,44.56870042,66.66666667,67,66.83333333,90.15783974,.,.,.,50,.,0,.,9.589041096,.,.,100,0,50,.,.,.,.,.,.
8,Albania,1995,0,0,Albania1995,100,100,100,33.33333333,50,41.66666667,89.15664181,100,94.57832091,78.74832919,0,100,50,0,100,50,33.33333333,14.31765288,23.82549311,41.27516437,59.69821959,100,50,75,0,.,.,.,70.37037037,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,0,0,0,.,30.62465677,.,.,3.44571094,.,.,0,0,0,.,.,.,.,.,.,.,.,76.18747952,0,38.09373976,13.73129509,36.58757959,25.15943734,4.158369791,32.89017425,18.52427202,27.25914971,50,89.78111946,69.89055973,94.00749058,2.713237095,48.36036384,0,0,0,39.41697452,33.30341769,75,75,30.46145899,99.46319099,64.96232499,100,100,100,79.98744166,0,0,0,31.4856325,2.768468131,17.12705032,8.563525158,43.10262187,25,100,62.5,46.58254504,-26.58985855,9.996343248,25.85945269,50,37.92972634,36.80868986,100,100,100,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,49.75756176,49.75756176,42.78437226,39.78826196,0,0,0,45.83325,.,.,.,0,0,0,-50,-44.44444444,-47.22222222,29.96128811,-8.630467055,-18.61756309,.,16.66666667,93.46620386,55.06643526,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,60.08193186,0,100,50,90.36577524,0,45.18288762,26.24299128,55.4063753,40.82468329,45.33585697,52.65971473,18.41703785,70.95002832,44.68353309,66.66666667,67,66.83333333,90.15783974,.,.,.,50,.,0,.,9.589041096,29.09090909,19.33997509,100,0,50,.,.,.,38.71603283,.,.
8,Albania,1996,0,0,Albania1996,100,100,100,33.33333333,0,16.66666667,87.55488977,100,93.77744488,70.14803718,100,100,100,0,100,50,33.33333333,14.31765288,23.82549311,57.94183104,64.01191461,100,50,75,0,.,.,.,55.55555556,.,.,100,0,50,58.18902383,8.422187193,33.30560551,68.48591549,.,.,.,.,100,100,100,.,30.62465677,.,5.490345345,3.44571094,4.468028143,.,100,100,100,-0.361685481,.,.,.,.,.,.,.,8.861933468,0,4.430966734,70.34953657,68.13333658,69.24143658,-57.8476946,-10.43715535,-34.14242498,13.17665944,50,25.25786117,37.62893058,96.75310074,6.753620739,51.75336074,0,0,0,29.79409711,21.41918352,75,75,-27.94523342,99.99982716,36.02729687,100,100,100,70.34243229,0,0,0,31.00245325,4.263534781,17.63299401,8.816497007,38.70180851,25,100,62.5,46.58254504,-26.58985855,9.996343248,52.9919325,50,51.49596625,41.33076983,90,100,95,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,49.75756176,49.75756176,41.53437226,41.43256148,0,0,0,18.75,.,.,.,0,0,0,-50,-51.85185185,-50.92592593,28.56671805,-11.17960394,-20.70184329,.,16.66666667,100,58.33333333,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,61.17089788,0,100,50,86.2465484,0,43.1232742,26.24299128,55.4063753,40.82468329,44.64931916,52.84839465,18.5914563,73.10328507,45.84737068,66.66666667,67,66.83333333,-19.21701004,.,.,.,50,.,0,.,24.20091324,9.636363636,16.91863844,87.51515598,0,43.75757799,.,.,.,33.77709826,.,.
8,Albania,1997,0,0,Albania1997,100,100,100,0,0,0,29.20666935,-120,-45.39666533,18.20111156,100,100,100,0,100,50,33.33333333,14.31765288,23.82549311,57.94183104,37.70445137,100,50,75,0,.,.,.,29.62962963,.,.,100,0,50,58.18902383,5.238166244,31.71359504,68.48591549,.,.,.,.,100,100,100,.,30.62465677,.,5.490345345,3.44571094,4.468028143,.,100,100,100,0.941597869,.,.,.,.,.,.,.,14.6769247,0,7.338462351,104.4491356,88.22377506,96.33645535,16.07340276,-11.73394473,2.169729017,35.28154891,50,43.56490706,46.78245353,98.71470169,9.977347019,54.34602435,0,0,0,33.70949263,34.4949428,75,75,2.537093454,99.99968375,51.2683886,100,100,100,75.4227962,0,0,0,26.20536511,1.763568936,13.98446702,6.992233512,40.12488247,25,100,62.5,46.58254504,-26.58985855,9.996343248,18.02707375,0,9.013536875,27.16996004,10,50,30,33.33333333,100,-2.879447841,43.4846285,5.790597576,-50,-22.10470121,49.75756176,49.75756176,25.28437226,26.22632159,0,0,0,6.25,.,.,.,0,0,0,-44.44444444,-61.11111111,-52.77777778,36.93397568,-7.921901051,-20.23322628,.,16.66666667,67.11374986,41.89020826,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,55.68985619,0,100,50,58.12686765,0,29.06343382,26.24299128,55.4063753,40.82468329,39.96270571,47.76984061,18.72010136,73.10328507,45.91169321,66.66666667,67,66.83333333,-60.62171803,.,.,.,50,.,0,.,8.447488584,9.636363636,9.04192611,87.51515598,0,43.75757799,.,.,.,33.5848017,.,.
8,Albania,1998,0,0,Albania1998,100,100,100,33.33333333,50,41.66666667,63.69925292,60,61.84962646,67.83876438,100,100,100,100,100,100,0,10.72651978,5.363259892,68.45441996,68.14650878,100,50,75,0,.,.,.,33.33333333,.,.,100,0,50,58.18902383,2.054145295,30.12158456,68.48591549,.,.,.,.,100,100,100,.,30.62465677,.,5.490345345,3.44571094,4.468028143,.,100,100,100,0.623733476,.,.,.,.,.,.,.,14.6769247,0,7.338462351,101.1055621,87.41107214,94.25831711,16.07340276,14.6895392,15.38147098,38.99275015,50,43.56490706,46.78245353,98.84896511,10.49931631,54.67414071,0,0,0,33.81886475,36.39956934,75,75,27.93378708,99.97904579,63.95641643,100,100,100,79.65213881,0,0,0,24.31288509,1.226138529,12.76951181,6.384755905,41.78132749,25,100,62.5,46.58254504,-26.58985855,9.996343248,12.13802648,0,6.069013242,26.18845216,90,100,95,5.555666667,100,2.413948619,35.98987176,8.698684011,-50,-20.65065799,29.80835835,29.80835835,35.03689303,30.59422782,100,100,100,25,.,.,.,66.66666667,75,70.83333333,0,-55.55555556,-27.77777778,37.63109798,4.9266601,15.99407189,.,16.66666667,67.11374986,41.89020826,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,55.68985619,0,100,50,39.41162008,0,19.70581004,26.24299128,55.4063753,40.82468329,36.84349778,46.18539533,20.6051118,73.10328507,46.85419843,66.66666667,67,66.83333333,-30.6147468,.,.,.,50,33.33333333,0,27.77777778,8.447488584,19.09090909,13.76919884,87.51515598,0,43.75757799,28.43485153,.,.,36.23891155,.,.
8,Albania,1999,0,0,Albania1999,100,100,100,33.33333333,0,16.66666667,70.55426662,100,85.27713331,67.31459999,100,100,100,100,75,87.5,0,10.72651978,5.363259892,64.2877533,65.79915256,100,50,75,0,.,.,.,20.37037037,.,.,100,0,50,58.18902383,0.932978404,29.56100112,68.48591549,.,.,.,.,100,100,100,.,30.62465677,.,5.490345345,3.44571094,4.468028143,.,100,100,100,0.41356722,.,.,.,.,.,.,.,14.6769247,0,7.338462351,101.1055621,87.41107214,94.25831711,16.07340276,14.6895392,15.38147098,38.99275015,50,43.56490706,46.78245353,98.84896511,10.49931631,54.67414071,0,0,0,33.81886475,36.39956934,75,75,27.93378708,99.97904579,63.95641643,100,100,100,79.65213881,0,0,0,.,.,.,.,.,25,100,62.5,46.58254504,-26.58985855,9.996343248,35.67248474,50,42.83624237,38.44419521,100,100,100,-11.111,83.33342857,2.413948619,24.8787924,8.698684011,-50,-20.65065799,29.80835835,29.80835835,33.50912319,35.97097913,100,100,100,8.33325,-9.843081312,-0.754915656,49.62254217,66.66666667,75,70.83333333,11.11111111,-38.88888889,-13.88888889,39.72295307,12.91703209,23.28715884,36.29322066,16.66666667,67.11374986,41.89020826,76.36217924,71.12989589,73.74603756,77.7870799,25.07956559,51.43332274,55.68985619,0,100,50,58.12686765,0,29.06343382,26.24299128,55.4063753,40.82468329,39.96270571,47.76984061,20.64873004,73.10328507,46.87600755,66.66666667,67,66.83333333,-30.6147468,.,.,.,50,33.33333333,0,27.77777778,8.447488584,27.27272727,17.86010793,87.51515598,0,43.75757799,29.7984879,.,.,.,.,.
